username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
cbfetc,cbf.etc,https://twitter.com/CbfEtc/status/1275979026268450816,"""That Leunig is a real piece of shit.… """,2020-06-24 19:28:00,,,1,,0,,0,,https://pbs.twimg.com/media/EbUwKLPU4AUGvII.jpg
cbfgrump,CBF Grump,https://twitter.com/CBFgrump/status/1276267854002892801,"""I really hope that cute little couple from SC that always stands up and waves for having been at every #cbfassembly gets to virtually wave at us tonight somehow.  A tradition unlike any other.""",2020-06-25 14:35:00,38,,0,,0,cbfassembly,1,,
cbfgrump,CBF Grump,https://twitter.com/CBFgrump/status/1276351500571246592,"""When you don’t get to wear your new Easter suit on Easter because of the pandemic. #cbfassembly… """,2020-06-25 20:08:00,33,,1,,0,cbfassembly,1,,https://pbs.twimg.com/media/EbaC7JzXQAI5YBO.jpg
exhofn,Exho Uses Vandal,https://twitter.com/ExhoFN/status/1276082016216203264,"""I cbf waiting 15 minutes so I paid 1 USD for this… """,2020-06-25 02:17:00,4,,4,,0,,0,,https://pbs.twimg.com/media/EbWNvNcUEAAX6pq.jpg
username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
ggty,Giovanni G Torelly,https://twitter.com/ggty/status/905506768280834048,"""Tradição Católica",2017-09-06 12:03:00,,,0,,0,,0,,
cruzeiro_org,Cruzeiro.Org,https://twitter.com/Cruzeiro_Org/status/898712600560582657,"""Gabriel BrazÃ£o e Edu sÃ£o convocados para SeleÃ§Ã£o Brasileira Sub17 https",2017-08-18 18:05:00,,,0,,0,,0,,
ladisleite,Ladislau Leite,https://twitter.com/Ladisleite/status/898191092750974976,"""Goleiro do Corinthians Ã© convocado para SeleÃ§Ã£o Brasileira Sub-15 pela terceira vez https",2017-08-17 07:33:00,,,0,,0,,0,,
ladisleite,Ladislau Leite,https://twitter.com/Ladisleite/status/884783322202873858,"""Tite confirma que CÃ¡ssio estÃ¡ perto de ser convocado para a SeleÃ§Ã£o Brasileira https",2017-07-11 07:35:00,,,0,,0,,0,,
cbfetc,cbf.etc,https://twitter.com/CbfEtc/status/1277739292358406144,"""Make lateral violence pragmatic again.… """,2020-06-29 16:02:00,,,0,,0,,0,,https://pbs.twimg.com/media/EbtxHH-VAAA7bIn.jpg
cbfetc,cbf.etc,https://twitter.com/CbfEtc/status/1277801838645923841,"""Bit going on here.… """,2020-06-29 20:11:00,,,0,,0,,0,,
tpacbfrsvspd3fj,ぱんち,https://twitter.com/tpACbfRsVSpD3Fj/status/1277743590463029248,"""UserName：chin100
PlayerID：AHUD47R2FK
 #VALKYRIEANATOMIA #ヴァルキリーアナトミア""",2020-06-29 16:19:00,,,0,,0,VALKYRIEANATOMI | ヴァルキリーアナトミア,2,,
sporf,SPORF,https://twitter.com/Sporf/status/1277967081066033154,"""🌍🏆 1958
🌍🏆 1962
🌍🏆 1970
🌍🏆 1994
🌍🏆 2002

📆 18 Years Ago Today",2020-06-30 07:07:00,294,32,3,,0,,0,,https://pbs.twimg.com/media/EbxAR8QUMAQB6pj.jpg
cbfgrants,CBF,https://twitter.com/CBFgrants/status/1277754142291722241,"""Great to hear the news that @C31Melbourne and @44adelaide have been given a 12-month extension to stay on air.
#CommunityTV #communitybroadcasting… https",2020-06-29 17:01:00,20,5,0,C31Melbourne | 44adelaide,2,CommunityTV | communitybroadc,2,,
adamsilvercbf,Adam Silver Brasil ,https://twitter.com/AdamSilverCBF/status/1277781514634301441,"""Dark Original Netflix 😎👍🏽… """,2020-06-29 18:50:00,5,,0,,0,,0,,https://pbs.twimg.com/media/EbuXg3YX0AAh1JV.jpg
xxminie, 𝕞𝕚𝕟𝕚𝕖 ,https://twitter.com/xxminie/status/1277510737879941120,"""i really cbf with backgrounds lmao rendering suits is difficult as it is 😭#art #myart #oc… """,2020-06-29 00:54:00,16,2,1,,0,art | myart | oc,3,,https://pbs.twimg.com/media/EbqhPdOUYAE5nyl.jpg
residualleads,Residual Leads,https://twitter.com/ResidualLeads/status/1278024317570146304,"""The CBF Hemp Business Is BOOMING!!
Are Your Reaady To Get In?? Lets Chat Today!!… """,2020-06-30 10:55:00,,,0,,0,,0,,https://pbs.twimg.com/media/Ebx0SPrUcAAWWH2.jpg
ahaportugal,Augusto Portugal,https://twitter.com/ahaportugal/status/1073475178,"""Ecos da Montanha...",2008-12-22 18:02:00,,,0,,0,,0,,
,,https://twitter.com/rtrudgeon/status/1277579357641375745,"""Very ahead of his time. I can’t imagine many others were using hashtags in 1950.… """,2020-06-29 05:27:00,453,15,0,,0,,0,,
cbfgrump,CBF Grump,https://twitter.com/CBFgrump/status/1276224218292772864,"""I was excited to sit in on this breakout conversation but we’re now 8 minutes in and still have only heard the white guy talk.  Not the best start.  #cbfassembly.   Update",2020-06-25 11:42:00,12,,3,,0,cbfassembly,1,,https://pbs.twimg.com/media/EbYPKN3WoAEdf9w.jpg
cbfgrump,CBF Grump,https://twitter.com/CBFgrump/status/1276267854002892801,"""I really hope that cute little couple from SC that always stands up and waves for having been at every #cbfassembly gets to virtually wave at us tonight somehow.  A tradition unlike any other.""",2020-06-25 14:35:00,38,,0,,0,cbfassembly,1,,
cbfgrump,CBF Grump,https://twitter.com/CBFgrump/status/1276351500571246592,"""When you don’t get to wear your new Easter suit on Easter because of the pandemic. #cbfassembly… """,2020-06-25 20:08:00,33,,1,,0,cbfassembly,1,,https://pbs.twimg.com/media/EbaC7JzXQAI5YBO.jpg
gwusod,G-WU Divinity,https://twitter.com/GWUSOD/status/1277579737574096899,"""We celebrate with alumna Tashara Boochee on her endorsement as a CBF chaplain!… """,2020-06-29 05:28:00,5,,1,,0,,0,,https://pbs.twimg.com/media/EbrfprQXkAMUe2t.jpg
shauwchin,Shauw Chin Capps,https://twitter.com/ShauwChin/status/1276259986805383170,"""Just about now at #GeneralAssembly I would be planning to meet a group of peeps for dinner. I miss all my CBF peeps 😭❤️ #COVIDsucks""",2020-06-25 14:04:00,8,,0,,0,GeneralAssembly | COVIDsucks,2,,
threelionsthen,Football On This Day,https://twitter.com/ThreeLionsThen/status/1276377260572971012,"""#OnThisDay in 1974 Rivelino scores freekick in 1-0 defeat of East Germany @FIFAWorldCup in Hannover, Niedersachsenstadion @OldFootball11 @FootballArchive @BBCMOTD @TonyIncenzo @placar @FoxSportsBrasil @ESPNBrasil @denilsonshow @10neto @talkSPORT @PurelyFootball @CBF_Futebol… https",2020-06-25 21:50:00,1,,0,FIFAWorldCup | OldFootball11 | FootballArchive | BBCMOTD | TonyIncenzo | placar | FoxSportsBrasil | ESPNBrasil | denilsonshow | 10neto | talkSPORT | PurelyFootball | CBF_Futebol,13,OnThisDay,1,,https://pbs.twimg.com/media/EbaaT-BXQAEPOT2.jpg
cbfgrump,CBF Grump,https://twitter.com/CBFgrump/status/1276196732582445056,"""While I appreciate Dr McCall  I would’ve paid good money to watch the office staff squirm while this 🐐 of CBF life riffed for 20 minutes this morning.  Judge would’ve blown the virtual walls out today. #cbfassembly… https",2020-06-25 09:53:00,28,1,0,,0,cbfassembly,1,,https://pbs.twimg.com/media/EbX2KenWoAMyWPF.jpg
cbf_sa,CBF SA,https://twitter.com/cbf_sa/status/1276455163893444611,"""Documents of the Church (Vatican II) emphasize the importance of the Word in our lives.… """,2020-06-26 03:00:00,,1,0,,0,,0,,https://pbs.twimg.com/media/EbJEUWhXsAUr4yw.jpg
biz9gzecbfetmjk,黄竹君,https://twitter.com/BiZ9GzeCbfETMjK/status/1276432763059466241,"""Today's partial solar eclipse in our country happened to be photographed by me… """,2020-06-26 01:31:00,,,0,,0,,0,,https://pbs.twimg.com/media/EbBeCk3UwAYGe6B.jpg
tpacbfrsvspd3fj,ぱんち,https://twitter.com/tpACbfRsVSpD3Fj/status/1276282821019987968,"""UserName：chin100
PlayerID：AHUD47R2FK
 #VALKYRIEANATOMIA #ヴァルキリーアナトミア""",2020-06-25 15:35:00,,,0,,0,VALKYRIEANATOMI | ヴァルキリーアナトミア,2,,
externallylaws,Ms Lawless,https://twitter.com/externallylaws/status/1276771562574626817,"""I have to write a 2500 word assignment/psych evaluation by tomorrow night and I simply CBF.… """,2020-06-26 23:57:00,,,5,,0,,0,,
,,https://twitter.com/CBFgrump/status/1276851481841471495,"""So to all the folks that put this together each year, but especially this weird year, thanks! You endure a lot so that we can do what we do best",2020-06-27 05:14:00,23,,3,,0,,0,,
cbfdn,The CBF,https://twitter.com/CBFdn/status/1276454611637895170,"""We are pleased to announce we have published our Summer newsletter, https",2020-06-26 02:57:00,7,12,1,,0,,0,,https://pbs.twimg.com/media/EbbgXWrWAAMH0rS.jpg
,,https://twitter.com/egan_des/status/1275890556124557313,"""This US presidency is becoming more like a comedy skit every day. Only it's not funny anymore.… """,2020-06-24 13:36:00,6,1,0,,0,,0,,
eshzfn,Eshz,https://twitter.com/Eshzfn/status/1276915840961507328,"""anyone have a val account that i can buy, cbf playing 20 unrated games to play comp lol""",2020-06-27 09:30:00,58,,4,,0,,0,,
cbfetc,cbf.etc,https://twitter.com/CbfEtc/status/1275979026268450816,"""That Leunig is a real piece of shit.… """,2020-06-24 19:28:00,,,1,,0,,0,,https://pbs.twimg.com/media/EbUwKLPU4AUGvII.jpg
exhofn,Exho Uses Vandal,https://twitter.com/ExhoFN/status/1276082016216203264,"""I cbf waiting 15 minutes so I paid 1 USD for this… """,2020-06-25 02:17:00,4,,4,,0,,0,,https://pbs.twimg.com/media/EbWNvNcUEAAX6pq.jpg
citi973,CitiNewsroom,https://twitter.com/Citi973/status/1276087828280115200,"""The most important thing for businesses now isn't financing, it's partnerships. Once there's a partnership, it's much easier to raise finances  - Michael Kottoh

CBF is brought to you by @AbsaGhana and @gipcghana #CitiCBS #CitiBusinessFestival""",2020-06-25 02:40:00,14,2,0,AbsaGhana | gipcghana,2,CitiCBS | CitiBusinessFes,2,,
trinityhssports,Trinity Athletics,https://twitter.com/TrinityHSSports/status/1275601611436560394,"""Good to see 2 of our softball student athletes back out on the diamond tonight! @summerwrobel ‘21 warming up to her @TrinitySoftbal1 battery mate @lillex00 ‘20 for the Twinsburg Tigers. #TrojanPride @LeAnne_1425 @aleeburke14 @npaolucci7 @cbf_kids @j_abaseball @CVC_Athletics… https",2020-06-23 18:28:00,21,7,0,summerwrobel | TrinitySoftbal1 | lillex00 | LeAnne_1425 | aleeburke14 | npaolucci7 | cbf_kids | j_abaseball | CVC_Athletics,9,TrojanPride,1,,
wosogifs,Women's Soccer Gifs,https://twitter.com/wosogifs/status/1275764869988483074,"""Cristiane and Tamires from Brazil (@CBF_Futebol)… """,2020-06-24 05:17:00,87,23,0,CBF_Futebol,1,,0,,
cbf_sa,CBF SA,https://twitter.com/cbf_sa/status/1275707736458739714,"""All our help comes from God.… """,2020-06-24 01:30:00,,,0,,0,,0,,https://pbs.twimg.com/media/EbJD_KTXYAAELgA.jpg
fifaworldcup,FIFA World Cup,https://twitter.com/FIFAWorldCup/status/1275849317572632578,"""🔙 #OnThisDay in 1958 @Pele became the youngest player to score a #WorldCup hat-trick as 🇧🇷 @CBF_Futebol beat 🇫🇷 @FrenchTeam 5-2 to reach the #WorldCup Final

🎩 Who has been the youngest player to score a hat-trick in the competition since? 🤔""",2020-06-24 10:52:00,143,16,1,Pele | CBF_Futebol | FrenchTeam,3,OnThisDay | WorldCup | WorldCup,3,,
fifaworldcup,FIFA World Cup,https://twitter.com/FIFAWorldCup/status/1275798015287218176,"""🔙 70 years ago today Ademir de Menezes scored the 1st official goal at the @maracana 🏟️

🦈 Here's the story of the predator who finished top scorer at the 1950 #WorldCup & scored for fun for @CBF_Futebol, @sportrecife, @VascodaGama & @FluminenseFC 🇧🇷

👉 https",2020-06-24 07:28:00,"1,214",243,226,maracana | CBF_Futebol | sportrecife | VascodaGama | FluminenseFC,5,WorldCup,1,,https://pbs.twimg.com/media/EbSLY57X0AAZrIH.jpg
alexmcleh,Alex /BLM,https://twitter.com/alexmcleh/status/1275247711806160897,"""I cbf to find the thread so here’s my January vs June. I had 1 haircut back in like, Feb or March… """,2020-06-22 19:02:00,5,1,0,,0,,0,,https://pbs.twimg.com/media/EbKXB-_UMAAcacE.jpg | https://pbs.twimg.com/media/EbKXB-_UEAEA5N_.jpg
40cbf2f7ede945a,Karwan Muhammad,https://twitter.com/40cbf2f7ede945a/status/1275363572684591104,"""Beautiful day… """,2020-06-23 02:42:00,,,0,,0,,0,,https://pbs.twimg.com/media/EbMALsLWAAAgNTz.jpg
fifawwc,FIFA Women's World Cup,https://twitter.com/FIFAWWC/status/1275454527294984200,"""🔙 #OnThisDay one year ago...

Round 16 🙌

🏴󠁧󠁢󠁥󠁮󠁧󠁿England 3-0 Cameroon🇨🇲
🇫🇷France 2-1 (a.e.t.) Brazil🇧🇷

#FIFAWWC | #France2019 
@Lionesses | @FecafootOfficie | @FrenchTeam | @equipedefrance | @CBF_Futebol… https",2020-06-23 08:43:00,342,26,3,Lionesses | FecafootOfficie | FrenchTeam | equipedefrance | CBF_Futebol,5,OnThisDay | FIFAWWC | France2019,3,,https://pbs.twimg.com/media/EbMuOklXgAIlAqK.jpg | https://pbs.twimg.com/media/EbMuPwSWoAArcDz.jpg
cbfgrump,CBF Grump,https://twitter.com/CBFgrump/status/1275455319536070656,"""I miss #cbfassembly so much I’m even sad for the old white dudes that can’t choose golf over the BWIM lunch this year.""",2020-06-23 08:46:00,51,1,4,,0,cbfassembly,1,,
churchbenefits1,CBF Church Benefits,https://twitter.com/ChurchBenefits1/status/1275078379574706182,"""You’re Invited to the CBF Church Benefits Booth at CBF Assembly - https",2020-06-22 07:49:00,,,0,,0,,0,,https://pbs.twimg.com/media/EbH9B2oUwAARaxC.jpg
,,https://twitter.com/TasMavridis/status/1275188169902710784,"""Yep, scan bio, tweets likes and who follows them, cbf dealing with the shite on here… """,2020-06-22 15:05:00,1,,1,,0,,0,,
cbfcomic,Comic Book Fan Shop,https://twitter.com/CbfComic/status/1275104521384079360,"""We're back!… """,2020-06-22 09:33:00,,,1,,0,,0,,https://pbs.twimg.com/media/EbIUy_TWAAMiD77.jpg | https://pbs.twimg.com/media/EbIUzPhWoAgyCRl.jpg
,,https://twitter.com/I_Call_You_Out/status/1275086211854417920,"""Ahh Sam. You're just a fairly dense old man now. I was going to see what crap you write here but actually - I CBF. I'm just going to block you straight up so I can avoid your low-IQ attention seeking dribble altogether. Keep trying to be relevant.… https",2020-06-22 08:20:00,1,,0,,0,,0,,
,,https://twitter.com/313bf48cbf544ba/status/1275107278044225537,"""Joe Biden has had 40 plus years to make real reform....why now?… """,2020-06-22 09:44:00,1,,1,,0,,0,,
fifacom,FIFA.com,https://twitter.com/FIFAcom/status/1274673677691478017,"""🚨 ⚽️ 🗳️

🇧🇷 @CBF_Futebol

Which Brazil side was better?""",2020-06-21 05:01:00,207,27,35,CBF_Futebol,1,,0,,
wosogifs,Women's Soccer Gifs,https://twitter.com/wosogifs/status/1274731935336726534,"""Natascha Honegger (@N_Honegger) - Brazil (@CBF_Futebol) x Netherlands (@oranjevrouwen) - Tournoi de France 2020  https",2020-06-21 08:52:00,18,3,0,N_Honegger | CBF_Futebol | oranjevrouwen,3,,0,,
troybaylisstic,Troy Bayliss,https://twitter.com/TroyBaylisstic/status/1274801212932546560,"""I have been social distancing from twitter, putting my toe in the water but still have CBF 🏁see you in 2021""",2020-06-21 13:27:00,168,4,3,,0,,0,,
fifacom,FIFA.com,https://twitter.com/FIFAcom/status/1274722744895234052,"""🙈 @England fans, look away!

🇧🇷 @CBF_Futebol fans, this one's for you

@10Ronaldinho scored THAT goal #OnThisDay at the 2002 #WorldCup 🎯🤙 

https",2020-06-21 08:16:00,884,161,25,England | CBF_Futebol | 10Ronaldinho,3,OnThisDay | WorldCup,2,,https://pbs.twimg.com/profile_images/1277507841180471298/G-eQj3FB_normal.jpg
fifaworldcup,FIFA World Cup,https://twitter.com/FIFAWorldCup/status/1274889703263629312,"""""Gerson was the best No10, the best midfielder I’ve seen in my life.""

🔊 EXCLUSIVE - We hear from legendary #WorldCup winner as a coach and player Mario Zagallo on the 50-year anniversary of Brazil's iconic 1970 win 🇧🇷

#Mexico70 | #WorldCupAtHome | @CBF_Futebol""",2020-06-21 19:19:00,436,47,8,CBF_Futebol,1,WorldCup | Mexico70 | WorldCupAtHome,3,,
citi973,CitiNewsroom,https://twitter.com/Citi973/status/1274999373211013121,"""Players in the health and pharmaceutical industries in Africa should put pressure on their respective governments to domesticate production - David Ofosu-Dorte [Senior Partner - AB & David Africa]

CBF is brought to you by @AbsaGhana & @gipcghana #CitiCBS #CitiBusinessFestival""",2020-06-22 02:35:00,28,5,0,AbsaGhana | gipcghana,2,CitiCBS | CitiBusinessFes,2,,
,,https://twitter.com/CringeRespecter/status/1274620840517091333,"""Unironically this. Heavy porn users show a lot more lonely traits, wanting to have a gf, etc.

Cbf finding the study tho… https",2020-06-21 01:31:00,4,,0,,0,,0,,
88mchl,mich,https://twitter.com/88mchl/status/1274530387419492352,"""glad i got my brows tatted 6 months ago bcos nowadays i cbf to wear makeup 🥴""",2020-06-20 19:31:00,12,,0,,0,,0,,
visilfer99,VISILFER.99,https://twitter.com/visilfer99/status/1274681440702205952,"""⚽🔥🇧🇷🇦🇷🇺🇾 Football jersey concept for",2020-06-21 05:31:00,19,1,0,,0,,0,,https://pbs.twimg.com/media/EbCT_haXgAYZbsc.jpg | https://pbs.twimg.com/media/EbCUAAdX0AYT9Pu.jpg | https://pbs.twimg.com/media/EbCUAVgXsAUPZRV.jpg | https://pbs.twimg.com/media/EbCUA2RXsAAKtMb.jpg
uma_sports_,UMA Sports,https://twitter.com/UMA_Sports_/status/1274720377663557632,"""50 YEARS AGO!
On June 21, 1970, @CBF_Futebol defeated @Vivo_Azzurron in the Mexico 70 FIFA World Cup final. The result, 4-1 for the Seleção.

Probably, the best international team of all time!

#fifaworldcup #brazil #mexico70 #italy #pelé #estadioazteca #carlosalberto #umasports… https",2020-06-21 08:06:00,2,,0,CBF_Futebol | Vivo_Azzurron,2,fifaworldcup | brazil | mexico70 | italy | pelé | estadioazteca | carlosalberto | umasports,8,,https://pbs.twimg.com/media/EbC3aY-X0AAOpRC.jpg | https://pbs.twimg.com/media/EbC3aZMXQAIFKMy.jpg | https://pbs.twimg.com/media/EbC3aZIXYAIasDT.jpg
,,https://twitter.com/RiskOfReality/status/1274195541895704576,"""""Beach Friends""
I will never forget how NONE of the Republican Senators asked CBF who those ""beach friends"" were when she said it. 
Beach friends...… https",2020-06-19 21:21:00,28,4,1,,0,,0,,
hoolymcg,Julian Mcgill —- iHoolz BGF.MOFA ,https://twitter.com/HoolyMcg/status/1274173224792686592,"""Officially have the CBF’s today.""",2020-06-19 19:52:00,16,,5,,0,,0,,
tauolungawhore,A,https://twitter.com/tauolungawhore/status/1274259511532912640,"""My Instagram pisses me off but I cbf removing all my followers and starting again, again lol""",2020-06-20 01:35:00,9,,0,,0,,0,,
abmis0,Simba Ω ,https://twitter.com/abmis0/status/1274261009230749696,"""Will do this until I’m bored or unless I cbf/have no opinion on the question… """,2020-06-20 01:41:00,8,,27,,0,,0,,https://pbs.twimg.com/media/Ea8VoZeU4AIMla6.jpg
,,https://twitter.com/dr_lrwyatt/status/1273771704481808384,"""PLUG 🗣 we try to cover such topics in @OFDIRprogram for URM postdocs! @DrDamienFair and @angela_ozburn have been excellent PI role models. And we’ve been lucky to connect with @Mishra_CBF_Lab and others on this! We have rolling apps, holler at us!… https",2020-06-18 17:16:00,9,5,2,OFDIRprogram | DrDamienFair | angela_ozburn | Mishra_CBF_Lab,4,,0,,
footballmemorys,Football Memories,https://twitter.com/footballmemorys/status/1273844258026532864,"""Brazil team photo 1974

#Brazil #Brasileira #CBF… """,2020-06-18 22:05:00,14,2,0,,0,Brazil | Brasileira | CBF,3,,https://pbs.twimg.com/media/Ea2amfLXkAAsVPm.jpg
